sku	product-name	asin	field-name	alert-type	current-value	last-updated	alert-name	status	explanation
CB-AA4037-551-3T	"Columbia Ripple Maker Board Skort - Toddler Girls' Purple Arrow Pixel Wave Print, 3T"	B0074HCSMK	Image	Image Too Small		6/1/13 12:28:51 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4037-551-4T	"Columbia Ripple Maker Board Skort - Toddler Girls' Purple Arrow Pixel Wave Print, 4T"	B0074HCSW0	Image	Image Too Small		6/1/13 12:39:06 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4037-650-2T	"Columbia Ripple Maker Board Skort - Toddler Girls' Groovy Pink Pixel Wave Print, 2T"	B0074HCROE	Image	Image Too Small		5/31/13 7:36:50 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4037-650-3T	"Columbia Ripple Maker Board Skort - Toddler Girls' Groovy Pink Pixel Wave Print, 3T"	B0074HCRX0	Image	Image Too Small		5/31/13 7:47:24 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4037-650-4T	"Columbia Ripple Maker Board Skort - Toddler Girls' Groovy Pink Pixel Wave Print, 4T"	B0074HCS48	Image	Image Too Small		5/31/13 8:01:58 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4037-732-2T	"Columbia Ripple Maker Board Skort - Toddler Girls' Geyser Pixel Wave Print, 2T"	B0074HCR0I	Image	Image Too Small		5/31/13 11:12:27 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4037-732-3T	"Columbia Ripple Maker Board Skort - Toddler Girls' Geyser Pixel Wave Print, 3T"	B0074HCR76	Image	Image Too Small		5/31/13 11:22:25 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4037-732-4T	"Columbia Ripple Maker Board Skort - Toddler Girls' Geyser Pixel Wave Print, 4T"	B0074HCREY	Image	Image Too Small		5/31/13 11:32:20 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-160-2T	"Columbia Silver Ridge Skort - Toddler Girls' Fossil, 2T"	B0073RBGCO	Image	Image Too Small		5/31/13 9:53:52 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-160-3T	"Columbia Silver Ridge Skort - Toddler Girls' Fossil, 3T"	B0073RBGN8	Image	Image Too Small		5/31/13 10:08:37 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-160-4T	"Columbia Silver Ridge Skort - Toddler Girls' Fossil, 4T"	B0073RBGXS	Image	Image Too Small		5/31/13 10:18:54 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-328-2T	"Columbia Silver Ridge Skort - Toddler Girls' Hemlock, 2T"	B0073RBH6Y	Image	Image Too Small		5/31/13 11:38:51 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-328-3T	"Columbia Silver Ridge Skort - Toddler Girls' Hemlock, 3T"	B0073RBHKA	Image	Image Too Small		5/31/13 11:48:54 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-328-4T	"Columbia Silver Ridge Skort - Toddler Girls' Hemlock, 4T"	B0073RBHRI	Image	Image Too Small		5/31/13 11:58:49 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-621-2T	"Columbia Silver Ridge Skort - Toddler Girls' Berry Jam, 2T"	B0073RBFM0	Image	Image Too Small		5/31/13 8:57:01 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-621-3T	"Columbia Silver Ridge Skort - Toddler Girls' Berry Jam, 3T"	B0073RBFXE	Image	Image Too Small		5/31/13 9:07:14 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-621-4T	"Columbia Silver Ridge Skort - Toddler Girls' Berry Jam, 4T"	B0073RBG3S	Image	Image Too Small		5/31/13 9:17:07 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-664-2T	"Columbia Silver Ridge Skort - Toddler Girls' Pink Taffy Plaid, 2T"	B0073RBI4K	Image	Image Too Small		5/31/13 4:02:58 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-664-3T	"Columbia Silver Ridge Skort - Toddler Girls' Pink Taffy Plaid, 3T"	B0073RBICW	Image	Image Too Small		5/31/13 4:12:58 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA4038-664-4T	"Columbia Silver Ridge Skort - Toddler Girls' Pink Taffy Plaid, 4T"	B0073RBIJ0	Image	Image Too Small		5/31/13 4:23:13 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA5042-516-2T	"Columbia Water Belle Cover Up, Clematis Blue, 2T"	B0074HCTEW	Image	Image Too Small		5/31/13 4:46:43 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA5042-516-3T	"Columbia Water Belle Cover Up, Clematis Blue, 3T"	B0074HCTNS	Image	Image Too Small		5/31/13 4:56:38 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA5042-516-4T	"Columbia Water Belle Cover Up, Clematis Blue, 4T"	B0074HCTVK	Image	Image Too Small		5/31/13 5:06:31 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA5042-650-2T	"Columbia Water Belle Cover Up, Groovy Pink, 2T"	B0074HCUDC	Image	Image Too Small		5/31/13 6:01:38 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA5042-650-3T	"Columbia Water Belle Cover Up, Groovy Pink, 3T"	B0074HCULO	Image	Image Too Small		5/31/13 6:11:42 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA5042-650-4T	"Columbia Water Belle Cover Up, Groovy Pink, 4T"	B0074HCUV4	Image	Image Too Small		5/31/13 6:21:50 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA5042-651-2T	"Columbia Water Belle Cover Up, Groovy Pink Pixel Wave, 2T"	B008MAT26S	Image	Missing		7/19/12 9:15:20 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA5042-651-3T	"Columbia Water Belle Cover Up, Groovy Pink Pixel Wave, 3T"	B008MAT2KE	Image	Missing		7/19/12 9:18:49 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA5042-651-4T	"Columbia Water Belle Cover Up, Groovy Pink Pixel Wave, 4T"	B008MAT2YK	Image	Missing		7/19/12 9:21:15 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA6011-516-2T	"Columbia Sun's Up Sunguard L/S, Clematis Blue, 2T"	B007KIF0RS	Image	Image Too Small		5/31/13 3:57:51 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6011-516-3T	"Columbia Sun's Up Sunguard L/S, Clematis Blue, 3T"	B007KIF8O8	Image	Image Too Small		5/31/13 4:07:52 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6011-516-4T	"Columbia Sun's Up Sunguard L/S, Clematis Blue, 4T"	B007KIF9GA	Image	Image Too Small		5/31/13 4:18:27 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-100-2T	"Columbia Farewell City Graphic Tee, White Rainbow C, 2T"	B008MATG50	Image	Missing		7/19/12 9:17:37 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA6012-100-3T	"Columbia Farewell City Graphic Tee, White Rainbow C, 3T"	B007G78MLO	Image	Missing		7/19/12 9:13:52 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA6012-100-4T	"Columbia Farewell City Graphic Tee, White Rainbow C, 4T"	B008MATHDQ	Image	Missing		7/19/12 9:17:52 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA6012-102-2T	"Columbia Farewell City Graphic Tee, White PFG Island Heart, 2T"	B008MATJJ8	Image	Image Too Small		5/31/13 12:07:23 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-102-3T	"Columbia Farewell City Graphic Tee, White PFG Island Heart, 3T"	B008MATJZ2	Image	Image Too Small		5/31/13 12:17:37 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-102-4T	"Columbia Farewell City Graphic Tee, White PFG Island Heart, 4T"	B008MATKKG	Image	Image Too Small		5/31/13 12:27:26 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-518-2T	"Columbia Farewell City Graphic Tee, Clematis Blue Trail Butterfly, 2T"	B007G75Q3G	Image	Image Too Small		5/31/13 9:22:03 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-518-3T	"Columbia Farewell City Graphic Tee, Clematis Blue Trail Butterfly, 3T"	B007G7972W	Image	Image Too Small		5/31/13 9:32:09 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-518-4T	"Columbia Farewell City Graphic Tee, Clematis Blue Trail Butterfly, 4T"	B007G7800C	Image	Image Too Small		5/31/13 9:42:18 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-524-2T	"Columbia Farewell City Graphic Tee, Crown Jewel Trail Butterfly, 2T"	B007G75K3W	Image	Image Too Small		5/31/13 2:35:34 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-524-3T	"Columbia Farewell City Graphic Tee, Crown Jewel Trail Butterfly, 3T"	B007NVN6XC	Image	Image Too Small		5/31/13 2:50:23 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-524-4T	"Columbia Farewell City Graphic Tee, Crown Jewel Trail Butterfly, 4T"	B007G782M8	Image	Image Too Small		5/31/13 3:00:26 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-666-2T	"Columbia Farewell City Graphic Tee, Pink Taffy PFG Marlin, 2T"	B008MATNTY	Image	Missing		7/19/12 9:21:15 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA6012-666-3T	"Columbia Farewell City Graphic Tee, Pink Taffy PFG Marlin, 3T"	B008MATOBG	Image	Missing		7/19/12 9:15:41 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA6012-666-4T	"Columbia Farewell City Graphic Tee, Pink Taffy PFG Marlin, 4T"	B008MATONY	Image	Missing		7/19/12 9:17:48 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA6012-733-2T	"Columbia Farewell City Graphic Tee, Winter Green Trail Critters, 2T"	B007NVN7DG	Image	Image Too Small		5/31/13 3:33:06 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-733-3T	"Columbia Farewell City Graphic Tee, Winter Green Trail Critters, 3T"	B007NVN7PE	Image	Image Too Small		5/31/13 3:42:48 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-733-4T	"Columbia Farewell City Graphic Tee, Winter Green Trail Critters, 4T"	B007NVN7WC	Image	Image Too Small		5/31/13 3:52:54 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-794-2T	"Columbia Farewell City Graphic Tee, Geyser Paisley Gem, 2T"	B007G75GXG	Image	Image Too Small		5/31/13 1:05:09 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-794-3T	"Columbia Farewell City Graphic Tee, Geyser Paisley Gem, 3T"	B007G793B2	Image	Image Too Small		5/31/13 1:15:25 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA6012-794-4T	"Columbia Farewell City Graphic Tee, Geyser Paisley Gem, 4T"	B007G786PG	Image	Image Too Small		5/31/13 1:25:27 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-100-2T	Columbia Silver Ridge™ Long Sleeve Shirt	B0076ISUEM	Image	Image Too Small		5/31/13 3:30:28 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-100-3T	Columbia Silver Ridge™ Long Sleeve Shirt	B0076ISUQU	Image	Image Too Small		5/31/13 3:40:38 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-100-4T	Columbia Silver Ridge™ Long Sleeve Shirt	B0076ISW22	Image	Image Too Small		5/31/13 3:55:40 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-697-2T	Columbia Silver Ridge™ Long Sleeve Shirt	B005SW9HM2	Image	Image Too Small		5/31/13 3:45:36 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-697-3T	Columbia Silver Ridge™ Long Sleeve Shirt	B005SW9I9O	Image	Image Too Small		5/31/13 3:55:45 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-697-4T	Columbia Silver Ridge™ Long Sleeve Shirt	B005SW9IGW	Image	Image Too Small		5/31/13 4:05:38 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-707-2T	"Columbia Silver Ridge LS Shirt, Sunlit, 2T"	B0076ISTLG	Image	Image Too Small		5/31/13 5:26:33 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-707-3T	"Columbia Silver Ridge LS Shirt, Sunlit, 3T"	B0076ISTXY	Image	Image Too Small		5/31/13 5:36:45 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7000-707-4T	"Columbia Silver Ridge LS Shirt, Sunlit, 4T"	B0076ISU60	Image	Image Too Small		5/31/13 5:46:37 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
CB-AA7001-551-2T	"Columbia Silver Ridge Plaid SS Shirt, Purple Arrow Plaid, 2T"	B008MAUBBI	Image	Missing		7/23/12 11:22:14 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA7001-551-3T	"Columbia Silver Ridge Plaid SS Shirt, Purple Arrow Plaid, 3T"	B008MAUBR2	Image	Missing		7/23/12 11:25:38 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA7001-551-4T	"Columbia Silver Ridge Plaid SS Shirt, Purple Arrow Plaid, 4T"	B008MAUC4Y	Image	Missing		7/23/12 11:26:13 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA7001-664-2T	"Columbia Silver Ridge Plaid SS Shirt, Pink Taffy Plaid, 2T"	B008MAUCHG	Image	Missing		7/23/12 11:20:21 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA7001-664-3T	"Columbia Silver Ridge Plaid SS Shirt, Pink Taffy Plaid, 3T"	B008MAUCVC	Image	Missing		7/23/12 11:23:23 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA7001-664-4T	"Columbia Silver Ridge Plaid SS Shirt, Pink Taffy Plaid, 4T"	B007IGWEPI	Image	Missing		7/23/12 11:24:49 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA7001-732-2T	"Columbia Silver Ridge Plaid SS Shirt, Geyser Plaid, 2T"	B008MAUEEM	Image	Missing		7/23/12 11:23:23 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA7001-732-3T	"Columbia Silver Ridge Plaid SS Shirt, Geyser Plaid, 3T"	B008MAUEQK	Image	Missing		7/23/12 11:26:02 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AA7001-732-4T	"Columbia Silver Ridge Plaid SS Shirt, Geyser Plaid, 4T"	B008MAUF1Y	Image	Missing		7/23/12 11:25:55 PM PDT	Suppressed	Inactive	Images can make your product more attractive to customers and help them make buying decisions.
CB-AB4001-245-1012	Columbia Silver Ridge brown (Size: 140-152)	B005SHR6VG	Sport Type	Missing		7/18/13 9:55:36 PM PDT	Quality	Inactive	Sport_type is important for helping customers find your product.
CB-AB4001-245-1416	Columbia Silver Ridge brown (Size: 164-176)	B005SHR72O	Sport Type	Missing		7/18/13 9:15:18 PM PDT	Quality	Inactive	Sport_type is important for helping customers find your product.
CB-AB4024-213-1012	"Columbia Sportswear Boys' Wave Stopper Short, Green - MD - 10/12"	B0070KZ1DO	Size	Missing		7/18/13 9:45:28 PM PDT	Quality	Inactive	Size is important for helping customers find your product.
CB-AB4024-213-1012	"Columbia Sportswear Boys' Wave Stopper Short, Green - MD - 10/12"	B0070KZ1DO	Color	Missing		7/18/13 9:45:28 PM PDT	Quality	Inactive	Color is important for helping customers find your product.
CB-AB4024-213-1012	"Columbia Sportswear Boys' Wave Stopper Short, Green - MD - 10/12"	B0070KZ1DO	Color	Missing		8/9/13 4:22:16 PM PDT	Suppressed	Inactive	Color is important for helping customers find your product.
CB-AB4024-213-1012	"Columbia Sportswear Boys' Wave Stopper Short, Green - MD - 10/12"	B0070KZ1DO	Size	Missing		8/9/13 4:22:17 PM PDT	Suppressed	Inactive	Size is important for helping customers find your product.
CB-AB4024-213-1012	"Columbia Sportswear Boys' Wave Stopper Short, Green - MD - 10/12"	B0070KZ1DO	Department	Missing		8/9/13 4:22:18 PM PDT	Suppressed	Inactive	Department is important for helping customers find your product.
CB-AB4024-213-1012	"Columbia Sportswear Boys' Wave Stopper Short, Green - MD - 10/12"	B0070KZ1DO	UPC	Missing		8/9/13 4:22:20 PM PDT	Suppressed	Inactive	Upc is important for helping customers find your product.
CB-AB4024-213-1416	"Columbia Sportswear Boys' Wave Stopper Short, Green - LG - 14/16"	B0070L2NYI	Size	Missing		7/18/13 9:05:09 PM PDT	Quality	Inactive	Size is important for helping customers find your product.
CB-AB4024-213-1416	"Columbia Sportswear Boys' Wave Stopper Short, Green - LG - 14/16"	B0070L2NYI	Color	Missing		7/18/13 9:05:09 PM PDT	Quality	Inactive	Color is important for helping customers find your product.
CB-AB4024-213-1416	"Columbia Sportswear Boys' Wave Stopper Short, Green - LG - 14/16"	B0070L2NYI	Department	Missing		8/10/13 7:18:51 AM PDT	Suppressed	Inactive	Department is important for helping customers find your product.
CB-AB4024-213-1416	"Columbia Sportswear Boys' Wave Stopper Short, Green - LG - 14/16"	B0070L2NYI	Color	Missing		8/10/13 7:18:52 AM PDT	Suppressed	Inactive	Color is important for helping customers find your product.
CB-AB4024-213-1416	"Columbia Sportswear Boys' Wave Stopper Short, Green - LG - 14/16"	B0070L2NYI	Size	Missing		8/10/13 7:18:57 AM PDT	Suppressed	Inactive	Size is important for helping customers find your product.
CB-AB4024-213-1416	"Columbia Sportswear Boys' Wave Stopper Short, Green - LG - 14/16"	B0070L2NYI	UPC	Missing		8/10/13 7:18:56 AM PDT	Suppressed	Inactive	Upc is important for helping customers find your product.
CB-AB4024-998-1416	Columbia Boys' Wave Stopper Shorts - Wham 14/16	B0074HG0OM	Size	Missing		3/19/13 2:43:27 PM PDT	Quality	Inactive	Size is important for helping customers find your product.
CB-AB4024-998-1416	Columbia Boys' Wave Stopper Shorts - Wham 14/16	B0074HG0OM	Color	Missing		3/19/13 2:43:27 PM PDT	Quality	Inactive	Color is important for helping customers find your product.
CB-AB4024-998-1416	Columbia Boys' Wave Stopper Shorts - Wham 14/16	B0074HG0OM	Key Product Features	Missing		1/26/13 9:58:21 AM PST	Quality	Inactive	Product features highlight important facts about the product and are displayed on the product's detail page.
CB-AB4024-998-1416	Columbia Boys' Wave Stopper Shorts - Wham 14/16	B0074HG0OM	Product Description	Missing		1/26/13 9:58:21 AM PST	Quality	Inactive	Product_description is important for helping customers find your product.
DC-54860031-BLK-L	"DC Men's Trillions 12 Fleece Jacket (Black, Large)"	B0056N4ZMA	Image	Non-White Background	http://ecx.images-amazon.com/images/I/41GKCpDbi0L._SCLZZZZZZZ__.jpg	8/2/13 4:12:22 AM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
DC-61200161-TGN-L	"DC Junior's Mead Short Sleeve Tee, Green, Large"	B004KKXFVC	Image	Non-White Background	http://ecx.images-amazon.com/images/I/41t-6jRHVTL._SCLZZZZZZZ__.jpg	7/5/13 9:46:58 PM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
EV-ES09639661	"Electric Visual Women's Venice Butterfly Sunglasses,Envy Frame/Grey Gradient Lens,One Size"	B006ZZG4C2	Image	Non-White Background	http://ecx.images-amazon.com/images/I/31eKYW1nulL._SCLZZZZZZZ__.jpg	8/10/13 1:00:03 AM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
EV-ES09639762	"Electric Visual Women's Venice Butterfly Sunglasses,Ultra Marine Frame/Grey, Blue & Chrome Lens,One Size"	B006ZZG4K4	Image	Non-White Background	http://ecx.images-amazon.com/images/I/31TzBsFxfKL._SCLZZZZZZZ__.jpg	7/8/13 11:25:09 PM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
ON-254422-6025-QTY	"O'Neill Boys 2-7 Wazzup Beanie Hat, Dresden Blue, One Size"	B001GA7P2E	Image	Non-White Background	http://ecx.images-amazon.com/images/I/51Vvv-WQYaL._SCLZZZZZZZ__.jpg	7/6/13 12:17:21 AM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
ON-254422-6039-QTY	"O'Neill Boys 2-7 Wazzup Beanie Hat, Simply Green, One Size"	B001GA2XRQ	Image	Non-White Background	http://ecx.images-amazon.com/images/I/51YVlrDK-GL._SCLZZZZZZZ__.jpg	7/5/13 9:11:52 PM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
ON-254422-9010-QTY	"O'Neill Boys 2-7 Wazzup Beanie Hat, Black Out, One Size"	B008AT7FNS	Image	Non-White Background	http://ecx.images-amazon.com/images/I/51EmaI7kAtL._SCLZZZZZZZ__.jpg	7/6/13 6:03:17 AM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
OR-55105-001-XXL	"Outdoor Research Men's Paladin Jacket (Black, XX-Large)"	B004MY0SM0	Image	Non-White Background	http://ecx.images-amazon.com/images/I/416KLrLJM4L._SCLZZZZZZZ__.jpg	6/22/13 10:46:34 PM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
PI-14141209428L	"Pearl Izumi Men's Select Softshell Glove, Screaming Yellow, Large"	B007FTD6SC	Image	Non-White Background	http://ecx.images-amazon.com/images/I/41tj7QM58HL._SCLZZZZZZZ__.jpg	8/2/13 3:47:03 AM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
PI-14141209428S	"Pearl Izumi Men's Select Softshell Glove, Screaming Yellow, Small"	B007FTD5OW	Image	Non-White Background	http://ecx.images-amazon.com/images/I/41tj7QM58HL._SCLZZZZZZZ__.jpg	8/18/13 3:32:13 PM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
TE-W8595-443-2XL	"Terramar Men's Evaporator Boxer Brief, Ocean Blue, XX-Large"	B00AONKGPW	Image	Non-White Background	http://ecx.images-amazon.com/images/I/41UWUyTxMJL._SCLZZZZZZZ__.jpg	7/5/13 10:47:07 PM PDT	Quality	Inactive	To fix the alert please upload an image with a white background.
